,song_name_api_opus,song_name_opus,artist_name_opus,catalog_name_opus,owned_catalog_opus,input_parameter,country_code,song_id_luminate_opus,isrc_opus,album_name_opus,release_date_opus,metric_luminate,start_week_id,end_week_id
88,The B Bop,The B Bop,Hopsin,Hopsin,No,isrc,G1,,US23S0846110,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
89,Slurpin,Slurpin,Hopsin,Hopsin,No,isrc,G1,,US23S0846112,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
90,Super Duper Fly,Super Duper Fly,Hopsin,Hopsin,No,isrc,G1,,US23S0846113,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
91,Motherfucker,Motherfucker,Hopsin,Hopsin,No,isrc,G1,,US23S0846114,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
92,Don't Trust 'Em,Don't Trust 'Em,Hopsin,Hopsin,No,isrc,G1,,US23S0846115,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
93,Gazing at the Moonlight,Gazing at the Moonlight,Hopsin,Hopsin,No,isrc,G1,,US23S0846117,Gazing at the Moonlight,2009-10-27 00:00:00,StreamingOnDemand,201840,202335
94,Ill Mind Of Hopsin 8,Ill Mind Of Hopsin 8,Hopsin,Hopsin,No,isrc,G1,,TCACM1676046,,2016-03-08 00:00:00,StreamingOnDemand,201840,202335
95,Ill Mind Of Hopsin 5,Ill Mind Of Hopsin 5,Hopsin,Hopsin,No,isrc,G1,,USUYG1019176,,2012-07-18 00:00:00,StreamingOnDemand,201840,202335
96,Kumbaya,Kumbaya,Hopsin,Hopsin,No,isrc,G1,,QM24S2006193,,2020-06-09 00:00:00,StreamingOnDemand,201840,202335
97,Lost,Lost,"Hopsin, NF",Hopsin,No,isrc,G1,,USUM71601387,,2021-03-11 00:00:00,StreamingOnDemand,201840,202335
98,Alone With Me,Alone With Me,Hopsin,Hopsin,No,isrc,G1,,QM24S2101929,,2021-03-22 00:00:00,StreamingOnDemand,201840,202335
99,Be11A Ciao,Be11A Ciao,Hopsin,Hopsin,No,isrc,G1,,QM24S2102834,,2021-05-17 00:00:00,StreamingOnDemand,201840,202335
100,Picasso,Picasso,Hopsin,Hopsin,No,isrc,G1,,QM24S1917746,,2019-05-08 00:00:00,StreamingOnDemand,201840,202335
101,Low Key,Low Key,Hopsin,Hopsin,No,isrc,G1,,TCADZ1895700,,12/21/2018,StreamingOnDemand,201840,202335
